2026-08-07T13:35:15.897956+00:00 | DEMO-001 | 0 | 1.00 | PROMOTE | Start investigation for DISP-073. Customer claims unauthorized charge.
2026-08-07T13:35:15.913973+00:00 | DEMO-001 | 1 | 0.30 | FORGET | Beginning investigation. Fetching dispute details.
2026-08-07T13:35:15.914979+00:00 | DEMO-001 | 2 | 1.00 | PROMOTE | {"dispute_id": "DISP-073", "amount": 847.50, "fraud_flag": "detected", "risk_sco
2026-08-07T13:35:15.996687+00:00 | DEMO-001 | 3 | 0.60 | PROMOTE | What is the refund window for unauthorized transaction disputes?
2026-08-07T13:35:16.010202+00:00 | DEMO-001 | 4 | 0.60 | PROMOTE | Checking policy for refund eligibility.
2026-08-07T13:35:16.023723+00:00 | DEMO-001 | 5 | 0.80 | PROMOTE | {"merchant_id": "MERCH-004", "risk_score": 92, "category": "electronics"}
2026-08-07T13:35:16.037850+00:00 | DEMO-001 | 6 | 0.80 | PROMOTE | DISP-073 assigned to ANL-002 for senior review
2026-08-07T13:35:16.051364+00:00 | DEMO-001 | 7 | 0.80 | PROMOTE | Senior analyst review initiated for DISP-073.
2026-08-07T13:35:16.064393+00:00 | DEMO-001 | 8 | 0.40 | PROMOTE | {"transaction_id": "TXN-0000", "amount": 0}
2026-08-07T13:35:16.078790+00:00 | DEMO-001 | 9 | 0.40 | PROMOTE | {"transaction_id": "TXN-0001", "amount": 10}
2026-08-07T13:35:16.092778+00:00 | DEMO-001 | 10 | 0.40 | PROMOTE | {"transaction_id": "TXN-0002", "amount": 20}
2026-08-07T13:35:16.106951+00:00 | DEMO-001 | 11 | 0.40 | PROMOTE | {"transaction_id": "TXN-0003", "amount": 30}
2026-08-07T13:35:16.120614+00:00 | DEMO-001 | 12 | 0.40 | PROMOTE | {"transaction_id": "TXN-0004", "amount": 40}
2026-08-07T13:35:16.136633+00:00 | DEMO-001 | 13 | 0.40 | PROMOTE | {"transaction_id": "TXN-0005", "amount": 50}
2026-08-07T13:35:16.150806+00:00 | DEMO-001 | 14 | 0.40 | PROMOTE | {"transaction_id": "TXN-0006", "amount": 60}
2026-08-07T13:35:16.166030+00:00 | DEMO-001 | 15 | 0.40 | PROMOTE | {"transaction_id": "TXN-0007", "amount": 70}
2026-08-07T13:35:16.180578+00:00 | DEMO-001 | 16 | 0.40 | PROMOTE | {"transaction_id": "TXN-0008", "amount": 80}
2026-08-07T13:35:16.194703+00:00 | DEMO-001 | 17 | 0.40 | PROMOTE | {"transaction_id": "TXN-0009", "amount": 90}
2026-08-07T13:35:16.209109+00:00 | DEMO-001 | 18 | 0.40 | PROMOTE | {"transaction_id": "TXN-0010", "amount": 100}
2026-08-07T13:35:16.223612+00:00 | DEMO-001 | 19 | 0.40 | PROMOTE | {"transaction_id": "TXN-0011", "amount": 110}
2026-08-07T13:35:16.237547+00:00 | DEMO-001 | 20 | 0.40 | PROMOTE | {"transaction_id": "TXN-0012", "amount": 120}
2026-08-07T13:35:16.252681+00:00 | DEMO-001 | 20 | 0.40 | PROMOTE | {"transaction_id": "TXN-0013", "amount": 130}
2026-08-07T13:35:16.270962+00:00 | DEMO-001 | 20 | 0.40 | PROMOTE | {"transaction_id": "TXN-0014", "amount": 140}
2026-08-07T13:49:34.575386+00:00 | DEMO-001 | 0 | 1.00 | PROMOTE | Start investigation for DISP-073. Customer claims unauthorized charge.
